text,true_label,P1_Lecturer_Fixed_pred,P1_Lecturer_Fixed_exp,P2_Constrained_pred,P2_Constrained_exp,gpt_oss_pred,P3_Hybrid_Master_exp,P4_Baseline_ZeroShot_pred,P4_Baseline_ZeroShot_exp,bert_pred,finbert_pred
These share transactions are part of the company 's strategy of relinquishing assets that are not part of its core business .,neutral,neutral,"The statement simply reports that the company is selling off non‑core assets, which is a factual description with no clear positive or negative connotation.",neutral,Strict classification applied,neutral,"The statement indicates a standard corporate divestiture of non‑core assets, with no explicit mention of financial gain or loss.",neutral,The headline reports a factual corporate action—relinquishing non-core assets—without any evaluative or emotional language that would indicate positive or negative sentiment.,neutral,neutral
"As reported June 26 , `` both circuits continued to alternately report the track as vacant and then occupied almost constantly from June 17 , when part of the track signaling device was replaced , to the time of the crash , according to the Metro source . ''",neutral,negative,"The article discusses a crash, noting repeated erratic track status reports and implicating a faulty signaling device, which conveys a negative event.",negative,Strict classification applied,neutral,"The article reports operational details of a track signaling incident but contains no explicit mention of financial gain, loss, or penalty in the content.",negative,"The headline reports a crash on the track, indicating a harmful or dangerous event. This description of an accident reflects negative sentiment, as it highlights a problem or failure rather than positive outcomes.",neutral,neutral
"Founded in 1649 , Fiskars has over 360 years of product quality excellence and is Finland 's oldest company .",neutral,positive,"The statement highlights Fiskars’ long history and “product quality excellence,” presenting the company in a favorable light.",positive,Strict classification applied,neutral,"The statement only highlights Fiskars’ long history and quality, with no mention of financial performance, gains, or losses.",positive,"The headline highlights longstanding legacy, product quality excellence, and prestige as Finland's oldest company, all of which convey a positive tone.",neutral,neutral
"SDM offers general rental equipment , aluminium scaffolding , power generator and hoists to customers in the construction sector .",neutral,neutral,"The statement merely reports that SDM provides rental equipment to construction customers, without any positive or negative connotations.",neutral,Strict classification applied,neutral,"The announcement only states that SDM is offering rental equipment and related services, without indicating any financial gains or losses.",neutral,The headline simply states a factual service offering by SDM in the construction sector. It contains no emotionally charged words or judgments that would indicate a positive or negative sentiment.,neutral,neutral
"Svyturys-Utenos Alus , which is controlled by the Nordic group Baltic Beverages Holding ( BBH ) , posted a 4.7-per-cent growth in beer sales for January-May to 46.22 million litres .",positive,positive,"The article highlights a 4.7‑percent increase in beer sales, indicating stronger performance.",positive,Strict classification applied,positive,"Sales grew 4.7%, indicating higher revenue.",positive,"The headline reports a 4.7% growth in beer sales, indicating a positive business performance.",positive,positive
The chain is to unite 45-50 centres by the end of 2008 .,neutral,neutral,"The article merely reports a future expansion plan for the chain (unity of 45‑50 centres by end‑2008) without positive or negative language, indicating a neutral fact.",neutral,Strict classification applied,neutral,"The statement describes a planned expansion of centres, with no explicit reference to financial gain or loss.",neutral,The headline merely reports a planned expansion of the chain and contains no emotional or value-laden language that would suggest a positive or negative sentiment.,neutral,neutral
"4 February 2011 - Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V said Wednesday its net profit rocketed to EUR4 .8 m in 2010 from EUR416 ,000 in 2009 and it lifted its dividend proposal .",positive,positive,"The article reports that Teleste Oyj’s net profit ""rocketed to EUR4.8 m"" from EUR416,000 and that it ""lifted its dividend proposal,"" indicating improved financial performance.",positive,Strict classification applied.,positive,"Net profit rose from EUR 416,000 to EUR 4.8 million, indicating a substantial increase in earnings.",positive,"The headline reports a substantial increase in net profit—from only €416,000 to €4.8 million—and mentions a lifted dividend proposal, both of which indicate a strong financial performance and a positive outlook for the company. This favorable business development conveys a positive sentiment.",positive,positive
It also turned to earnings per share ( EPS ) of EUR 0.08 versus loss per share of EUR 0.04 .,positive,positive,"The article notes a shift from a loss per share of EUR 0.04 to an earnings per share of EUR 0.08, indicating improved financial performance.",positive,Strict classification applied,positive,"The company reports earnings per share of EUR 0.08, turning from a prior loss per share of EUR 0.04, indicating a direct financial gain.",positive,"The headline reports a shift from a loss per share to a positive earnings per share, indicating improved financial performance, which conveys a positive sentiment.",positive,positive
Pretax loss totalled EUR 162.3 mn compared to a profit of EUR 253.5 mn in 2007 .,negative,negative,"The news reports a pretax loss of EUR 162.3 million versus a profit of EUR 253.5 million in 2007, indicating a decline in financial performance.",negative,Strict classification applied,negative,"The company reports a pre‑tax loss of €162.3 million, contrasting with a €253.5 million profit in 2007.",negative,"The headline reports a pretax loss of 162.3 million euros for the current period, contrasted with a profit of 253.5 million euros in 2007. Reporting a loss – a downturn in financial performance compared to a previous profit – conveys negative sentiment about the company's financial results.",negative,negative
"Of course , you 'll have direct access to Nokia 's Ovi store , so you 'll have lots of fun downloading your favorite media .",neutral,positive,"The article highlights direct access to Nokia’s Ovi store and promises that users will “have lots of fun downloading your favorite media,” which is explicitly uplifting and favorable.",positive,Strict classification applied,neutral,"The statement merely describes access to Nokia's Ovi store, with no mention of financial gain or loss.",positive,"The headline uses enthusiastic language such as ""Of course"" and ""lots of fun"" to highlight a positive experience with accessing Nokia's Ovi store.",neutral,neutral
"The contracts between Raute Corporation and Muling Kemian Wood Products Co. , Ltd. , which were announced on 3 November 2010 , have taken effect .",neutral,neutral,The sentence merely reports a factual event—contracts between the two companies have become effective—without any positive or negative connotation.,neutral,Strict classification applied,neutral,"The announcement merely reports that the contracts are now in force, with no explicit financial gain or loss mentioned.",neutral,The headline simply reports that certain contracts have entered into effect; it contains no positive or negative evaluative language.,neutral,neutral
"In Q1 of 2010 , Bank of +_land 's net interest income increased from EUR 9.1 mn to EUR 9.7 mn .",positive,positive,"The article states that the bank’s net interest income ""increased from EUR 9.1 mn to EUR 9.7 mn,"" indicating improved financial performance.",positive,Strict classification applied,positive,"Net interest income rose from EUR 9.1 mn to EUR 9.7 mn, showing a clear financial gain.",positive,"The headline reports that the bank’s net interest income rose from EUR 9.1 million to EUR 9.7 million, indicating an improvement in performance, which is interpreted as a positive sentiment.",positive,positive
"Aldata Solution Oyj Thomas Hoyer CFO More information : Aldata Solution Oyj , Thomas Hoyer , CFO , tel. +358 45 670 0491 Aldata in brief Aldata Solution is one of the global leaders in supply chain software for retail , wholesale and logistics companies .",neutral,neutral,The article simply provides factual information about Aldata Solution Oyj and its CFO without expressing any positive or negative sentiment.,neutral,Strict classification applied,neutral,"The release only provides contact information and a generic description of Aldata’s market position; it contains no explicit financial gain, loss, or performance data.",neutral,"The headline reports factual information about Aldata Solution Oyj and its CFO without any evaluative or emotionally charged language, indicating a neutral stance.",neutral,neutral
"Under the rental agreement , Stockmann was committed to invest in the building of a bridge over the Gogol Street or build an underground tunnel for crossing the street by 2004 .",neutral,neutral,"The text simply reports Stockmann’s contractual commitment to invest in infrastructure (a bridge or tunnel), without expressing praise or criticism.",neutral,Strict classification applied,neutral,"The text describes a future investment commitment with no mention of financial gain, loss, or penalty, indicating routine corporate activity.",neutral,"The headline merely reports a contractual obligation for investment, stating factual information about the construction of a bridge or underground tunnel. It does not express approval, disapproval, or emotional tone, so it is best classified as neutral.",neutral,neutral
The parties have agreed not to disclose the transaction value .,neutral,neutral,"The sentence reports a fact—no disclosure of transaction value—but contains no positive or negative language or implications, so the sentiment is neutral.",neutral,Strict classification applied,neutral,"No financial gain, loss, or penalty is disclosed; the statement only references nondisclosure of the transaction amount, a routine corporate detail.",neutral,The headline simply reports an agreement about withholding information and contains no positive or negative sentiment.,neutral,neutral
"The subscriptions increase Cargotec 's share capital by 36,780 euros .",positive,positive,"The news reports a rise in Cargotec's share capital through subscriptions, indicating a capital inflow that is typically viewed favorably.",positive,Strict classification applied,positive,"The company's share capital increased by €36,780, indicating a financial gain.",neutral,The headline merely reports a factual change in share capital without implying any positive or negative impact.,positive,positive
"The company is now withdrawing the second part , EUR 7.2 mn , of the investment commitment .",neutral,negative,The statement that the company is withdrawing part of its investment commitment signals a negative development for the firm.,negative,Strict classification applied,negative,"The company is withdrawing €7.2 million of its investment commitment, representing a loss or reduction in planned financial outlay.",negative,"The headline indicates that the company is pulling back a significant portion of its investment commitment, which reflects a negative development for the company's financial outlook or investor confidence.",neutral,neutral
The shares shall be acquired according to the Rules of NASDAQ OMX Helsinki and otherwise according to the rules related to acquisition of the company 's own shares .,neutral,neutral,"The text merely states that shares will be acquired in accordance with NASDAQ OMX Helsinki rules, which is a factual, procedural description without positive or negative connotation.",neutral,Strict classification applied,neutral,"The statement merely describes the procedural rules for share acquisition without indicating any financial gain, loss, or impact on company performance.",neutral,The headline is a factual statement about share acquisition rules and does not contain any emotive or evaluative language that would suggest a positive or negative sentiment.,neutral,neutral
